Convection_FilmCoef,Heat Flux_Magnitude,Convection_AmbientTemp,T_latent_0_lag,T_latent_1_lag,T_latent_2_lag,T_latent_3_lag,T_latent_4_lag,T_latent_5_lag
20000.0,300000.0,77.5489070399982,8787.079355518183,-1528.207181442216,298.99791884177534,39.871645815606314,0.30477349779152973,-0.9979114832305811
1000.0,0.0,20.0,11663.539857545355,-32.60805469466794,-107.55492757336879,9.236201646649633,0.9158214751657852,-0.06892541285618847
2900.0,0.0,160.0,11861.96688557836,300.33719857101494,-79.85803510808205,6.853332177918111,0.9779990826136782,0.11626435031723759
18100.0,0.0,104.0,7441.95687215468,186.80478548106163,-49.338946340129496,4.791463620354271,0.6234798859514967,0.06260301403738744
20000.0,300000.0,41.494680966569,8977.911936941955,-2286.278970425566,217.26258058323378,39.2365378751814,0.2819279842653941,-1.1952491803576208
2900.0,0.0,160.0,12735.200603314759,241.19751818623433,-92.19968911161777,8.366614725305414,1.0493944484135227,0.07306395155148238
2306.32464498716,0.0,260.535124876449,17914.08071703617,674.9143437962803,-124.00266247970649,-3.5035959768423908,1.2584996813425278,0.5466459251066231
7817.2516323325,0.0,300.0,7172.146028617456,2306.9834847949987,388.03111616006936,75.44000606546194,-22.79668729352818,-6.322093379717558
1000.0,0.0,20.0,2188.4061354261444,36.801807657520385,-16.41243122382815,1.3867375271533477,0.17574688661355253,0.010739631838859509
6700.0,500000.0,46.0,10083.874977814521,-1837.236583866635,450.3884141446579,-25.891978700864513,-3.7907862052918517,-0.621915723765369
2900.0,0.0,160.0,12123.152068748976,282.6968680002289,-83.56114574589901,7.298563048956464,1.0002134330552508,0.10390477532538256
18100.0,0.0,104.0,7328.84024577642,219.24843243075105,-46.580333352081425,3.8563108270437194,0.6039504438504082,0.09194803055002687
17208.2767555264,0.0,38.0690109096698,2336.465358976291,-52.1443298669046,84.81374048743464,37.28453891584809,-11.619746956889117,-2.402910769056895
15449.9564045358,0.0,25.3638561749237,2026.883507519636,-282.512595669599,244.37685605901635,-55.542381340465724,-7.4955450867715285,19.71864918434199
15281.2813778434,449368.168581475,20.0,10792.429622806143,-3070.0985004609447,283.35747240013825,13.453739640568187,0.8232405673534231,-1.2588348407691115
1000.0,0.0,20.0,11957.671817257698,-34.764990882376765,-110.38375191482533,9.480186456936622,0.9387638670923479,-0.07142198516520182
6700.0,497616.539038101,46.0,10158.116477025396,-1848.75712139753,448.9521603377716,-25.61314988638867,-3.7825463459598723,-0.6307686012025329
2900.0,0.0,160.0,11584.476803770305,319.0787477476207,-75.92375245481844,6.380311291889605,0.9543987865924919,0.12939762078771722
19949.2229241853,269728.168581474,192.106468881506,16427.663476265578,1184.0698694104885,26.606294214755962,-227.84831644535052,-46.34905506935456,-19.210466999665165
1533.41111767275,0.0,20.0,3243.7424197673877,12.46388862464974,-30.44220335518088,0.9056363219617722,0.07259025051791923,-0.04697640017665705
1000.0,300000.0,50.0435508380498,24019.775502311648,-693.0225528547073,137.94756855370133,-8.678403357778791,-0.897998902272775,-0.15173359526374952
8088.52530199762,300000.0,25.4819399913104,17106.709740841947,-1023.2081077539552,-242.14068302115538,-253.57992086205257,-22.822573811312395,-1.7241345899555256
1000.0,300000.0,300.0,30749.62233614155,-142.48591061913658,137.6834442059253,-1.605716342605632,-0.125241798665229,0.02119305000917393
2900.0,0.0,160.0,11596.107110375426,318.2932428128185,-76.08864763628821,6.4001374057161735,0.9553872118403888,0.12884727501524296
1000.0,0.0,300.0,29462.19855053389,577.7962398002838,-214.06008515879512,17.857077600500205,2.389060567202705,0.2003579632269492
6700.0,472752.351361637,46.0,7172.1910053160755,-1272.0136059570887,443.3315780329335,-40.75683988975186,-0.9473106095218782,0.1871862603319414
18100.0,30700.0,104.0,7714.905431886557,69.13423041817018,-19.613721922301238,2.653134795143096,0.356933167872171,0.02993662837749511
1000.0,0.0,160.0,21800.943256103248,263.08907718139085,-172.627298226942,14.633060462542765,1.7431153477023145,0.05106342981119383
18100.0,0.0,104.0,7323.00394670462,220.9223751723489,-46.438001640334505,3.8080623538192384,0.6029422037222503,0.09346057285851295
19000.0,300000.0,216.0,18760.058700553633,-960.4805243746518,171.52050771514132,-5.314513245379715,-1.1954293361118289,-0.3677795055972979
1000.0,300000.0,300.0,31072.76680380323,-144.85560215564544,134.57558980594513,-1.3376649214465033,-0.10003661700693556,0.01845185731619381
2900.0,0.0,160.0,12377.34689850526,265.5279287678866,-87.16496856040771,7.731989135111981,1.0218204897571468,0.09186658004714232
6000.0,300000.0,48.0,5925.630619501426,-753.5379634638542,280.18129055555335,-28.10653205089102,-1.1777005258362578,0.490184436717243
